hospital name,latitude,longitude
阳光(金基)护老中心,22.275482,114.235152
剑桥护老院(筲箕湾道),22.278053,114.228421
朗佳护老院,22.303944,114.191047
益丰护老中心(益丰大厦A座店),22.312622,114.194036
安生护老之家,22.277958,114.228838
青和居护老院(大家乐店),22.351825,114.108492
瑞安护老中心(嘉荣街),22.291627,114.243106
保良局萧明纪念护老院,22.300429,114.244708
木兰护老院,22.312022,114.174432
康和护老中心(黄金分院),22.397302,113.983091
顺恩护老中心有限公司,22.316583,114.194127
嘉乐护老中心,22.324261,114.167882
福荣护老院,22.318538,114.165627
曾肇添护老院,22.267132,114.129062
乐富护老院,22.333806,114.191991
恩奇护老之家,22.430747,114.001715
喜乐居护老院,22.337047,114.159405
保良局东涌护老院,22.287578,113.948601
伸手助人协会丽瑶白普理护老院,22.350987,114.136516
天平护老中心有限公司,22.500381,114.138783
石篱惠安护老院,22.364906,114.144827
基恩护老院(元朗安乐路),22.442448,114.037156
宇达护老中心,22.358456,114.1274
家乐护老院有限公司,22.331753,114.166131
妙法寺护老院,22.416725,113.989308
耆英美满护老院(第一分院),22.311752,114.192135
基恩护老院(桃园围),22.412902,113.987345
东方护老院(古洞村),22.503527,114.103402
麦理浩复康院,22.267304,114.129313
赛马会善宁之家,22.395452,114.220116
东华三院赛马会松朗安老综合中心,22.241082,114.171253
明爱利孝和护理安老院,22.377442,114.20354
香港圣公会李嘉诚护理安老院,22.336141,114.172288
辉涛中西结合安老院,22.317327,114.193266
慈孝安老院,22.313749,114.222061
香海正觉连社主办佛教李嘉诚护理安老院,22.269413,114.197306
志莲中心护理安老院,22.337536,114.210691
灵实司务道宁养院,22.312303,114.260995
知年护养院(竹园),22.473798,114.061526
慈星阁仁爱服务中心(安老院),22.276343,114.123121
晚怡园安老院,22.429313,114.036185
康乐园(大埔)护理安老院,22.451469,114.170159
东华三院戴东培长者日间护理中心,22.382166,113.984979
仁济医院李卫少琦安老院(元健楼店),22.334432,114.16186
沙田慈氏护养院,22.396294,114.221464
傅丽仪护理安老院,22.269964,114.180631
佛教宝静安老院,22.489852,114.141839
可荫护理安老院,22.340378,114.202279
基德护理安老院,22.436498,114.098649
大围新村万福护理院,22.370653,114.179611
长期护理院,22.405484,113.979661
长青安老院,22.442621,114.03624
博爱医院屯门护养院,22.381853,113.980512
安心居,22.440325,114.029751
屏山安老院有限公司,22.440636,114.017567
知年护养院(锦田分院),22.437477,114.066556
樟木头老人度假中心,22.429368,114.255096
白普理宁养中心,22.395619,114.219903
香港圣公会将军澳安老服务大楼,22.322061,114.264806
保良局张麦珍耆乐中心,22.339438,114.206738
明爱李嘉诚护理安老院,22.382378,113.987435
东华三院王少清长者中心,22.248669,114.141956
香港圣公会护养院,22.337173,114.202518
安福护理安老院,22.436271,114.098838
赛马会护理安老院,22.442051,114.046068
嘉涛耆乐苑,22.400704,113.983021
敬福护理院,22.332754,114.165974
耆康会港岛东东区老人日间护理中心,22.289576,114.20251
耆康会石围角护理安老院,22.372918,114.128247
南丫岛健康院,22.221926,114.115527
早禾坑警察康乐中心,22.39014,114.294332
香港浸信会区树洪伉俪康复护养院,22.337014,114.17148
维康护理安老院,22.286812,114.203203
基督教慈爱护理院,22.415841,113.984723
基督教天伦乐护理院,22.240691,114.158523
百福老人院,22.286307,114.198877
松山府邸,22.317757,114.181718
华创古洞护养院暨日间中心,22.502567,114.101827
永安老人健康中心(福全街),22.318534,114.169434
东华三院许丽娟安老院,22.452258,114.172653
荃威安老院,22.374761,114.10972
凤溪护理安老院,22.505036,114.135413
金马安老院,22.304023,114.188339
女青赛马会青健坊,22.316029,114.181272
新陶园护老院,22.438984,114.060514
新万福护理院(葵涌分院),22.364909,114.144208
安耆苑,22.326401,114.162186
仁济医院钱曼娟安老院,22.38473,113.978582
仁人安老院(禾塘咀街),22.365106,114.137292
欣景安老院,22.331907,114.199435
慈爱安老院,22.325155,114.171164
荣基颐养之家,22.368339,114.143155
大角咀安老院,22.319502,114.169625
福音护养院,22.439533,114.031657
幸福老人院,22.284852,114.143416
